survey,item,variable,values,Woo,Allemang
issp2002,work3a,v17,c(3:1),3,3
nsss1989,work3a,wkshgone,c(3:1),3,3
issp1988,work3b,v16,c(3:1),3,3
issp1994,work3b,v17,c(3:1),3,3
issp2002,work3b,v16,c(3:1),3,3
nsss1989,work3b,wkshsch,c(3:1),3,3
issp1988,work3c,v15,c(3:1),3,3
issp1994,work3c,v16,c(3:1),3,3
issp2002,work3c,v15,c(3:1),3,3
nsss1989,work3c,wkshpres,c(3:1),3,3
issp1988,work3d,v14,c(3:1),3,3
issp1994,work3d,v15,c(3:1),3,3
issp2002,work3d,v14,c(3:1),3,3
nsss1989,work3d,wkshbefk,c(3:1),3,3
issp2002,work3f,v64,c(3:1),3,3
evs_combo,work4,d056,c(4:1),3,3
pewrel2006_10nat,work4,q27d,c(4:1),3,3
wvs_combo,work4,d056,c(4:1),3,3
wvs4_swe,work4,v115,c(4:1),3,3
allbus,work4,fr01,c(4:1),3,3
allbus,work4a,fr07,c(4:1),3,3
issp1988,work5a,v4,c(5:1),3,3
issp1994,work5a,v4,c(5:1),3,3
issp2002,work5a,v4,c(5:1),3,3
nsss_combo,work5a,mumwkwrm,c(5:1),3,3
nsss1989,work5a,mumwkwrm,c(5:1),3,3
nsss1993,work5a,mumwkwr3,c(5:1),3,3
wvs_combo,work5b,e213,c(1:5),3,3
usgss,workhard4,feless1,c(1:4),1,1
